user_id,rank,item_id,rating,label,train_degree
0,1,265,5,1,7
0,2,226,1,0,5
0,3,282,2,0,10
0,4,199,5,1,17
0,5,198,3,1,8
1,1,264,2,0,15
1,2,189,2,0,7
1,3,219,1,0,10
1,4,196,2,0,7
1,5,147,2,0,21
2,1,220,2,0,9
2,2,218,5,1,8
2,3,180,1,0,4
2,4,188,2,0,13
2,5,68,1,0,14
3,1,224,3,1,17
3,2,280,3,1,10
3,3,293,2,0,8
3,4,208,5,1,7
3,5,181,1,0,2
4,1,150,4,1,10
4,2,89,1,0,9
4,3,284,1,0,4
4,4,192,2,0,5
4,5,200,4,1,15
5,1,249,4,1,39
5,2,271,3,1,8
5,3,280,2,0,10
5,4,180,3,1,4
5,5,90,1,0,34
6,1,247,3,1,30
6,2,175,3,1,7
6,3,249,4,1,39
6,4,243,2,0,15
6,5,179,1,0,5
7,1,46,1,0,8
7,2,66,1,0,8
7,3,208,2,0,7
7,4,40,2,0,7
7,5,218,3,1,8
8,1,254,2,0,12
8,2,18,3,1,10
8,3,290,3,1,19
8,4,258,1,0,6
8,5,208,3,1,7
9,1,192,3,1,5
9,2,252,3,1,48
9,3,245,4,1,5
9,4,296,1,0,11
9,5,276,5,1,8
10,1,247,4,1,30
10,2,285,1,0,9
10,3,258,3,1,6
10,4,238,3,1,12
10,5,246,2,0,32
11,1,167,2,0,9
11,2,171,2,0,7
11,3,62,4,1,12
11,4,271,4,1,8
11,5,150,5,1,10
12,1,218,4,1,8
12,2,120,2,0,45
12,3,197,3,1,8
12,4,286,3,1,8
12,5,285,3,1,9
13,1,82,4,1,7
13,2,125,1,0,17
13,3,251,2,0,22
13,4,58,1,0,11
13,5,143,3,1,21
14,1,231,2,0,15
14,2,169,2,0,6
14,3,268,2,0,11
14,4,95,3,1,11
14,5,279,3,1,17
15,1,292,4,1,15
15,2,249,3,1,39
15,3,296,1,0,11
15,4,203,2,0,8
15,5,159,3,1,9
16,1,235,1,0,13
16,2,151,1,0,6
16,3,251,1,0,22
16,4,132,1,0,7
16,5,100,1,0,30
17,1,205,3,1,6
17,2,266,3,1,13
17,3,251,3,1,22
17,4,254,2,0,12
17,5,167,1,0,9
18,1,175,4,1,7
18,2,244,1,0,16
18,3,198,3,1,8
18,4,251,2,0,22
18,5,180,2,0,4
19,1,291,3,1,16
19,2,203,1,0,8
19,3,221,2,0,9
19,4,260,2,0,16
19,5,69,1,0,4
20,1,214,1,0,12
20,2,183,1,0,5
20,3,147,1,0,21
20,4,37,3,1,4
20,5,208,2,0,7
21,1,200,3,1,15
21,2,273,4,1,14
21,3,298,4,1,11
21,4,213,4,1,10
21,5,93,4,1,11
22,1,48,4,1,12
22,2,220,4,1,9
22,3,123,4,1,17
22,4,73,4,1,8
22,5,165,3,1,10
24,1,150,4,1,10
24,2,296,2,0,11
24,3,96,4,1,35
24,4,203,2,0,8
24,5,261,2,0,3
25,1,237,5,1,16
25,2,271,3,1,8
25,3,151,1,0,6
25,4,157,2,0,12
25,5,257,3,1,18
26,1,213,3,1,10
26,2,130,2,0,6
26,3,133,3,1,36
26,4,276,5,1,8
26,5,267,5,1,17
27,1,263,4,1,18
27,2,35,3,1,4
27,3,244,1,0,16
27,4,144,1,0,29
27,5,27,1,0,3
28,1,218,5,1,8
28,2,172,3,1,7
28,3,42,1,0,6
28,4,197,1,0,8
28,5,68,1,0,14
29,1,273,4,1,14
29,2,213,5,1,10
29,3,112,1,0,14
29,4,192,1,0,5
29,5,4,2,0,13
30,1,219,3,1,10
30,2,204,4,1,2
30,3,19,3,1,12
30,4,157,4,1,12
30,5,200,5,1,15
31,1,256,3,1,14
31,2,191,4,1,9
31,3,65,1,0,1
31,4,124,1,0,3
31,5,23,3,1,4
32,1,244,1,0,16
32,2,165,1,0,10
32,3,284,1,0,4
32,4,268,3,1,11
32,5,237,4,1,16
33,1,295,2,0,15
33,2,265,2,0,7
33,3,276,1,0,8
33,4,193,2,0,13
33,5,178,4,1,10
34,1,257,4,1,18
34,2,292,3,1,15
34,3,296,3,1,11
34,4,187,2,0,11
34,5,165,4,1,10
35,1,227,5,1,19
35,2,182,3,1,8
35,3,262,4,1,17
35,4,165,4,1,10
35,5,89,1,0,9
36,1,266,5,1,13
36,2,269,5,1,7
36,3,213,5,1,10
36,4,223,5,1,12
36,5,170,2,0,6
37,1,199,3,1,17
37,2,194,3,1,8
37,3,78,1,0,25
37,4,181,1,0,2
37,5,171,3,1,7
38,1,244,3,1,16
38,2,285,4,1,9
38,3,232,3,1,4
38,4,196,3,1,7
38,5,230,2,0,8
39,1,266,5,1,13
39,2,231,5,1,15
39,3,223,1,0,12
39,4,74,5,1,13
39,5,240,5,1,8
40,1,271,4,1,8
40,2,268,4,1,11
40,3,227,5,1,19
40,4,272,4,1,11
40,5,167,1,0,9
41,1,282,5,1,10
41,2,203,3,1,8
41,3,253,2,0,26
41,4,59,1,0,8
41,5,269,3,1,7
42,1,225,1,0,6
42,2,280,1,0,10
42,3,207,4,1,5
42,4,81,1,0,7
42,5,285,2,0,9
43,1,272,3,1,11
43,2,296,3,1,11
43,3,68,1,0,14
43,4,247,2,0,30
43,5,295,3,1,15
44,1,196,4,1,7
44,2,218,2,0,8
44,3,164,2,0,8
44,4,152,3,1,3
44,5,18,1,0,10
45,1,223,1,0,12
45,2,295,4,1,15
45,3,189,1,0,7
45,4,174,3,1,11
