user_id,rank,item_id,rating,label,train_degree
0,1,282,2,0,10
0,2,265,5,1,7
0,3,283,2,0,8
0,4,226,1,0,5
0,5,198,3,1,8
1,1,264,2,0,15
1,2,189,2,0,7
1,3,186,1,0,6
1,4,219,1,0,10
1,5,196,2,0,7
2,1,173,2,0,10
2,2,188,2,0,13
2,3,180,1,0,4
2,4,218,5,1,8
2,5,152,2,0,3
3,1,208,5,1,7
3,2,224,3,1,17
3,3,280,3,1,10
3,4,65,1,0,1
3,5,181,1,0,2
4,1,192,2,0,5
4,2,70,2,0,3
4,3,126,3,1,17
4,4,98,3,1,48
4,5,33,2,0,8
5,1,144,2,0,29
5,2,271,3,1,8
5,3,180,3,1,4
5,4,249,4,1,39
5,5,179,2,0,5
6,1,247,3,1,30
6,2,175,3,1,7
6,3,249,4,1,39
6,4,243,2,0,15
6,5,55,1,0,4
7,1,203,2,0,8
7,2,168,2,0,6
7,3,218,3,1,8
7,4,66,1,0,8
7,5,214,1,0,12
8,1,251,2,0,22
8,2,18,3,1,10
8,3,254,2,0,12
8,4,258,1,0,6
8,5,240,2,0,8
9,1,192,3,1,5
9,2,276,5,1,8
9,3,203,4,1,8
9,4,296,1,0,11
9,5,181,1,0,2
10,1,247,4,1,30
10,2,258,3,1,6
10,3,285,1,0,9
10,4,238,3,1,12
10,5,222,4,1,2
11,1,167,2,0,9
11,2,271,4,1,8
11,3,171,2,0,7
11,4,62,4,1,12
11,5,203,2,0,8
12,1,218,4,1,8
12,2,285,3,1,9
12,3,120,2,0,45
12,4,197,3,1,8
12,5,129,2,0,25
13,1,82,4,1,7
13,2,251,2,0,22
13,3,125,1,0,17
13,4,271,5,1,8
13,5,195,4,1,6
14,1,268,2,0,11
14,2,90,2,0,34
14,3,149,4,1,15
14,4,286,3,1,8
14,5,164,1,0,8
15,1,292,4,1,15
15,2,296,1,0,11
15,3,203,2,0,8
15,4,249,3,1,39
15,5,210,5,1,8
16,1,259,1,0,10
16,2,251,1,0,22
16,3,114,3,1,19
16,4,17,1,0,2
16,5,235,1,0,13
17,1,266,3,1,13
17,2,205,3,1,6
17,3,254,2,0,12
17,4,157,1,0,12
17,5,67,2,0,15
18,1,175,4,1,7
18,2,244,1,0,16
18,3,180,2,0,4
18,4,22,3,1,5
18,5,104,3,1,17
19,1,291,3,1,16
19,2,221,2,0,9
19,3,203,1,0,8
19,4,166,4,1,10
19,5,236,1,0,17
20,1,214,1,0,12
20,2,208,2,0,7
20,3,37,3,1,4
20,4,183,1,0,5
20,5,196,1,0,7
21,1,231,4,1,15
21,2,298,4,1,11
21,3,273,4,1,14
21,4,213,4,1,10
21,5,200,3,1,15
22,1,123,4,1,17
22,2,220,4,1,9
22,3,48,4,1,12
22,4,25,2,0,6
22,5,266,2,0,13
24,1,296,2,0,11
24,2,150,4,1,10
24,3,261,2,0,3
24,4,294,2,0,7
24,5,96,4,1,35
25,1,237,5,1,16
25,2,271,3,1,8
25,3,151,1,0,6
25,4,224,2,0,17
25,5,273,5,1,14
26,1,213,3,1,10
26,2,297,4,1,17
26,3,277,4,1,5
26,4,154,4,1,6
26,5,130,2,0,6
27,1,263,4,1,18
27,2,9,2,0,14
27,3,40,2,0,7
27,4,27,1,0,3
27,5,47,1,0,3
28,1,218,5,1,8
28,2,197,1,0,8
28,3,172,3,1,7
28,4,60,2,0,3
28,5,42,1,0,6
29,1,273,4,1,14
29,2,213,5,1,10
29,3,112,1,0,14
29,4,6,1,0,8
29,5,3,3,1,9
30,1,219,3,1,10
30,2,204,4,1,2
30,3,157,4,1,12
30,4,155,5,1,18
30,5,209,3,1,4
31,1,256,3,1,14
31,2,33,1,0,8
31,3,65,1,0,1
31,4,191,4,1,9
31,5,22,1,0,5
32,1,268,3,1,11
32,2,244,1,0,16
32,3,284,1,0,4
32,4,165,1,0,10
32,5,191,3,1,9
33,1,295,2,0,15
33,2,265,2,0,7
33,3,277,2,0,5
33,4,135,2,0,5
33,5,75,1,0,10
34,1,257,4,1,18
34,2,292,3,1,15
34,3,296,3,1,11
34,4,123,1,0,17
34,5,162,2,0,8
35,1,227,5,1,19
35,2,182,3,1,8
35,3,262,4,1,17
35,4,61,1,0,3
35,5,275,1,0,7
36,1,266,5,1,13
36,2,269,5,1,7
36,3,223,5,1,12
36,4,190,2,0,2
36,5,213,5,1,10
37,1,199,3,1,17
37,2,194,3,1,8
37,3,78,1,0,25
37,4,54,1,0,8
37,5,171,3,1,7
38,1,232,3,1,4
38,2,244,3,1,16
38,3,285,4,1,9
38,4,183,3,1,5
38,5,278,3,1,12
39,1,266,5,1,13
39,2,231,5,1,15
39,3,283,5,1,8
39,4,21,5,1,14
39,5,223,1,0,12
40,1,271,4,1,8
40,2,272,4,1,11
40,3,160,2,0,6
40,4,164,4,1,8
40,5,268,4,1,11
41,1,282,5,1,10
41,2,203,3,1,8
41,3,189,5,1,7
41,4,140,1,0,2
41,5,70,1,0,3
42,1,280,1,0,10
42,2,264,2,0,15
42,3,285,2,0,9
42,4,207,4,1,5
42,5,225,1,0,6
43,1,272,3,1,11
43,2,68,1,0,14
43,3,295,3,1,15
43,4,247,2,0,30
43,5,222,1,0,2
44,1,196,4,1,7
44,2,294,1,0,7
44,3,218,2,0,8
44,4,164,2,0,8
44,5,80,1,0,37
45,1,189,1,0,7
45,2,254,3,1,12
45,3,116,1,0,12
45,4,63,1,0,6
45,5,141,1,0,22
46,1,268,3,1,11
46,2,102,2,0,53
46,3,247,2,0,30
46,4,1,2,0,8
46,5,166,4,1,10
47,1,72,4,1,11
47,2,171,3,1,7
47,3,66,4,1,8
47,4,236,3,1,17
47,5,167,2,0,9
48,1,157,3,1,12
48,2,150,1,0,10
48,3,298,2,0,11
48,4,136,3,1,25
48,5,19,1,0,12
49,1,177,3,1,5
49,2,238,4,1,12
49,3,173,2,0,10
49,4,250,4,1,20
49,5,266,4,1,13
50,1,188,5,1,13
50,2,208,2,0,7
50,3,269,2,0,7
50,4,89,1,0,9
50,5,108,1,0,14
51,1,9,3,1,14
51,2,141,3,1,22
51,3,216,3,1,3
51,4,237,4,1,16
51,5,228,4,1,16
52,1,219,2,0,10
52,2,147,3,1,21
52,3,250,1,0,20
52,4,194,2,0,8
52,5,261,3,1,3
53,1,208,2,0,7
53,2,140,3,1,2
53,3,69,3,1,4
53,4,82,1,0,7
53,5,175,2,0,7
54,1,217,4,1,8
54,2,187,3,1,11
54,3,288,5,1,16
54,4,216,2,0,3
54,5,7,4,1,13
55,1,279,3,1,17
55,2,269,3,1,7
55,3,63,1,0,6
55,4,230,2,0,8
55,5,43,1,0,8
56,1,272,3,1,11
56,2,105,3,1,19
56,3,257,4,1,18
56,4,91,3,1,10
56,5,285,2,0,9
57,1,209,3,1,4
57,2,213,5,1,10
57,3,187,3,1,11
57,4,178,2,0,10
57,5,127,1,0,6
58,1,229,4,1,22
58,2,92,2,0,14
58,3,261,1,0,3
58,4,226,1,0,5
58,5,114,3,1,19
59,1,197,4,1,8
59,2,136,1,0,25
59,3,239,1,0,3
59,4,284,1,0,4
59,5,128,1,0,5
60,1,177,4,1,5
60,2,240,1,0,8
60,3,81,1,0,7
60,4,292,2,0,15
60,5,200,3,1,15
61,1,201,1,0,5
61,2,179,1,0,5
61,3,163,2,0,4
61,4,74,1,0,13
61,5,48,1,0,12
62,1,191,3,1,9
62,2,207,1,0,5
62,3,37,1,0,4
62,4,244,2,0,16
62,5,46,1,0,8
63,1,234,1,0,9
63,2,241,1,0,19
63,3,106,1,0,9
63,4,228,3,1,16
63,5,216,4,1,3
64,1,244,1,0,16
64,2,240,3,1,8
64,3,260,4,1,16
64,4,271,2,0,8
64,5,281,3,1,4
65,1,208,3,1,7
65,2,268,4,1,11
65,3,221,3,1,9
65,4,271,1,0,8
65,5,195,1,0,6
66,1,157,5,1,12
66,2,240,3,1,8
66,3,191,4,1,9
66,4,238,3,1,12
66,5,4,2,0,13
67,1,200,3,1,15
67,2,247,2,0,30
67,3,194,2,0,8
67,4,231,1,0,15
67,5,164,1,0,8
68,1,251,2,0,22
68,2,15,1,0,5
68,3,172,4,1,7
68,4,281,3,1,4
68,5,143,2,0,21
69,1,281,5,1,4
69,2,148,1,0,18
69,3,259,4,1,10
69,4,254,1,0,12
69,5,115,1,0,9
70,1,156,3,1,4
70,2,238,3,1,12
70,3,225,3,1,6
70,4,56,1,0,2
70,5,75,5,1,10
71,1,142,5,1,34
71,2,104,3,1,17
