user_id,ndcg_at_5,recall_at_5,top5_head_share,top5_avg_train_degree
0,0.48522855511632257,0.2,0.0,7.6
1,0.0,0.0,0.0,10.8
2,0.2960819109658652,0.3333333333333333,0.0,11.0
3,0.5531464700081437,0.2857142857142857,0.0,10.4
4,0.38356636737133565,0.2222222222222222,0.0,8.6
5,0.6992148198508501,0.6,0.2,14.2
6,0.8318724637288826,0.75,0.4,19.2
7,0.2640681225725909,0.5,0.0,8.8
8,0.5087403079104241,0.3333333333333333,0.0,11.8
9,0.639945385422766,0.5,0.2,18.6
10,0.7860137352654724,0.8,0.2,11.8
11,0.4468535299918563,0.3,0.2,16.8
12,0.6608397947263839,0.5,0.2,15.2
13,0.34519134224686937,0.18181818181818182,0.0,15.6
14,0.4912596920895758,0.5,0.0,13.6
15,0.5531464700081437,0.3333333333333333,0.2,15.0
16,0.0,0.0,0.2,15.6
17,0.6992148198508501,0.6,0.0,12.2
18,0.4703652827859579,0.2,0.0,11.4
19,0.23719771276929622,0.5,0.0,10.6
20,0.19519002499605084,0.25,0.0,9.2
21,1.0,0.38461538461538464,0.0,12.2
22,1.0,0.4166666666666667,0.0,10.4
24,0.6548086577531307,0.375,0.2,14.2
25,0.6843515475204855,0.6,0.0,12.0
26,0.7860137352654724,0.36363636363636365,0.2,14.2
27,0.9197207891481876,1.0,0.0,9.6
28,0.5855700749881525,0.5,0.0,8.6
29,0.6992148198508501,0.6,0.0,9.2
30,0.8539316501572937,0.36363636363636365,0.0,8.2
31,0.5855700749881525,0.5,0.0,7.4
32,0.27727342735504823,0.3333333333333333,0.0,10.6
33,0.3156484524795145,0.3333333333333333,0.0,8.6
34,0.7227265726449519,0.6,0.0,11.6
35,1.0,0.5555555555555556,0.0,15.0
36,1.0,1.0,0.0,9.6
37,0.787702056960637,0.75,0.2,12.8
38,1.0,0.7142857142857143,0.0,9.6
39,0.8687949224876582,0.3333333333333333,0.0,12.2
40,0.8687949224876582,0.4,0.0,11.0
41,0.6843515475204855,0.6,0.0,7.0
42,0.5,1.0,0.0,7.4
43,0.5087403079104241,0.3333333333333333,0.2,14.8
44,0.6713860725233041,0.6666666666666666,0.0,6.6
45,0.44149241373678083,0.5,0.2,16.4
46,0.4703652827859579,0.3333333333333333,0.0,11.6
47,0.8539316501572937,0.4,0.2,18.4
48,0.48522855511632257,0.25,0.0,9.2
49,0.7227265726449519,0.375,0.0,11.8
50,0.7860137352654724,0.8,0.2,15.4
51,0.8539316501572937,0.26666666666666666,0.0,10.8
52,0.34519134224686937,0.4,0.0,10.2
53,0.16812753627111746,0.25,0.0,6.6
54,0.8539316501572937,0.3076923076923077,0.0,9.6
55,0.787702056960637,0.75,0.2,14.4
56,0.8687949224876582,0.4,0.0,9.6
57,0.5855700749881525,0.5,0.0,7.4
58,0.5413996682199069,0.5,0.0,12.0
59,1.0,1.0,0.2,9.4
60,0.5296347172140421,0.5,0.0,9.0
61,0.0,0.0,0.0,8.4
62,0.6131471927654584,0.5,0.0,9.6
63,0.27727342735504823,0.4,0.0,8.4
