model,seed,bucket,recall_at_5,users
corrected_k2,0,tail,0.33350340136054424,196
corrected_k2,0,lower-mid,0.4282571912013536,197
corrected_k2,0,upper-mid,0.49143939393939395,220
corrected_k2,0,head,0.5594905869324475,215
corrected_k2,1,tail,0.3147108843537415,196
corrected_k2,1,lower-mid,0.41192893401015224,197
corrected_k2,1,upper-mid,0.4903896103896104,220
corrected_k2,1,head,0.5831782945736435,215
corrected_k2,2,tail,0.3300170068027211,196
corrected_k2,2,lower-mid,0.4203045685279187,197
corrected_k2,2,upper-mid,0.46712121212121216,220
corrected_k2,2,head,0.5656589147286822,215
corrected_k2,3,tail,0.2988095238095238,196
corrected_k2,3,lower-mid,0.42580372250423015,197
corrected_k2,3,upper-mid,0.5127651515151516,220
corrected_k2,3,head,0.5734551495016611,215
corrected_k2,4,tail,0.3357993197278911,196
corrected_k2,4,lower-mid,0.43739424703891705,197
corrected_k2,4,upper-mid,0.47617424242424244,220
corrected_k2,4,head,0.5655038759689923,215
corrected_k2,5,tail,0.31411564625850336,196
corrected_k2,5,lower-mid,0.46505922165820646,197
corrected_k2,5,upper-mid,0.4938582251082251,220
corrected_k2,5,head,0.5649169435215947,215
corrected_k2,6,tail,0.35365646258503397,196
corrected_k2,6,lower-mid,0.4164128595600677,197
corrected_k2,6,upper-mid,0.47427489177489185,220
corrected_k2,6,head,0.5744186046511628,215
corrected_k2,7,tail,0.30238095238095236,196
corrected_k2,7,lower-mid,0.4359560067681895,197
corrected_k2,7,upper-mid,0.5058658008658009,220
corrected_k2,7,head,0.5754595791805095,215
corrected_k2,8,tail,0.31420068027210885,196
corrected_k2,8,lower-mid,0.4197123519458545,197
corrected_k2,8,upper-mid,0.48939935064935064,220
corrected_k2,8,head,0.5577519379844962,215
corrected_k2,9,tail,0.3079081632653061,196
corrected_k2,9,lower-mid,0.423181049069374,197
corrected_k2,9,upper-mid,0.48999458874458873,220
corrected_k2,9,head,0.5762347729789591,215
corrected_k2,10,tail,0.32414965986394556,196
corrected_k2,10,lower-mid,0.42487309644670046,197
corrected_k2,10,upper-mid,0.4696969696969697,220
corrected_k2,10,head,0.5843410852713178,215
corrected_k2,11,tail,0.31360544217687075,196
corrected_k2,11,lower-mid,0.4043147208121828,197
corrected_k2,11,upper-mid,0.4798106060606061,220
corrected_k2,11,head,0.5582945736434108,215
corrected_k2,12,tail,0.3215986394557823,196
corrected_k2,12,lower-mid,0.4127749576988156,197
corrected_k2,12,upper-mid,0.46337121212121213,220
corrected_k2,12,head,0.5619822812846069,215
corrected_k2,13,tail,0.33248299319727886,196
corrected_k2,13,lower-mid,0.3914551607445008,197
corrected_k2,13,upper-mid,0.5082954545454547,220
corrected_k2,13,head,0.5566998892580288,215
corrected_k2,14,tail,0.3127551020408163,196
corrected_k2,14,lower-mid,0.43037225042301186,197
corrected_k2,14,upper-mid,0.5023863636363637,220
corrected_k2,14,head,0.5535215946843854,215
corrected_k2,15,tail,0.3409863945578231,196
corrected_k2,15,lower-mid,0.42834179357021995,197
corrected_k2,15,upper-mid,0.46394480519480524,220
corrected_k2,15,head,0.5677076411960134,215
corrected_k2,16,tail,0.3410714285714285,196
corrected_k2,16,lower-mid,0.4383248730964467,197
corrected_k2,16,upper-mid,0.48416125541125543,220
corrected_k2,16,head,0.5672093023255814,215
corrected_k2,17,tail,0.3254251700680272,196
corrected_k2,17,lower-mid,0.44255499153976313,197
corrected_k2,17,upper-mid,0.48397727272727276,220
corrected_k2,17,head,0.5760354374307862,215
corrected_k2,18,tail,0.3519557823129252,196
corrected_k2,18,lower-mid,0.39593908629441626,197
corrected_k2,18,upper-mid,0.4789339826839827,220
corrected_k2,18,head,0.5556921373200443,215
corrected_k2,19,tail,0.31505102040816324,196
corrected_k2,19,lower-mid,0.43494077834179357,197
corrected_k2,19,upper-mid,0.4685984848484849,220
corrected_k2,19,head,0.5630564784053156,215
corrected_k2_stronger,0,tail,0.33197278911564626,196
corrected_k2_stronger,0,lower-mid,0.422419627749577,197
corrected_k2_stronger,0,upper-mid,0.490952380952381,220
corrected_k2_stronger,0,head,0.5518493909191583,215
corrected_k2_stronger,1,tail,0.3427721088435374,196
corrected_k2_stronger,1,lower-mid,0.4043147208121828,197
corrected_k2_stronger,1,upper-mid,0.4967478354978355,220
corrected_k2_stronger,1,head,0.5646511627906977,215
corrected_k2_stronger,2,tail,0.32006802721088434,196
corrected_k2_stronger,2,lower-mid,0.4037225042301184,197
corrected_k2_stronger,2,upper-mid,0.4861471861471862,220
corrected_k2_stronger,2,head,0.5651162790697675,215
corrected_k2_stronger,3,tail,0.3081632653061224,196
corrected_k2_stronger,3,lower-mid,0.42834179357021995,197
corrected_k2_stronger,3,upper-mid,0.4901461038961039,220
corrected_k2_stronger,3,head,0.5783388704318937,215
corrected_k2_stronger,4,tail,0.3240646258503401,196
corrected_k2_stronger,4,lower-mid,0.42038917089678507,197
corrected_k2_stronger,4,upper-mid,0.4791341991341992,220
corrected_k2_stronger,4,head,0.5665891472868219,215
corrected_k2_stronger,5,tail,0.3448979591836735,196
corrected_k2_stronger,5,lower-mid,0.45279187817258876,197
corrected_k2_stronger,5,upper-mid,0.481737012987013,220
corrected_k2_stronger,5,head,0.5580952380952381,215
corrected_k2_stronger,6,tail,0.33299319727891163,196
corrected_k2_stronger,6,lower-mid,0.42842639593908627,197
corrected_k2_stronger,6,upper-mid,0.4798051948051948,220
corrected_k2_stronger,6,head,0.5693798449612403,215
corrected_k2_stronger,7,tail,0.3122448979591837,196
corrected_k2_stronger,7,lower-mid,0.41607445008460237,197
corrected_k2_stronger,7,upper-mid,0.5171915584415584,220
corrected_k2_stronger,7,head,0.5794905869324475,215
corrected_k2_stronger,8,tail,0.31079931972789115,196
corrected_k2_stronger,8,lower-mid,0.41395939086294414,197
corrected_k2_stronger,8,upper-mid,0.4721266233766234,220
corrected_k2_stronger,8,head,0.5572425249169435,215
corrected_k2_stronger,9,tail,0.303656462585034,196
corrected_k2_stronger,9,lower-mid,0.4058375634517767,197
corrected_k2_stronger,9,upper-mid,0.4745400432900433,220
corrected_k2_stronger,9,head,0.5633997785160576,215
corrected_k2_stronger,10,tail,0.3187925170068027,196
corrected_k2_stronger,10,lower-mid,0.45033840947546533,197
corrected_k2_stronger,10,upper-mid,0.4473863636363637,220
