user_id,ndcg_at_5,recall_at_5,top5_head_share,top5_avg_train_degree
0,0.6131471927654584,0.5,0.0,74.8
1,1.0,0.625,0.2,181.4
2,0.7860137352654724,0.5,0.4,266.4
5,0.38685280723454163,1.0,0.2,198.6
8,1.0,1.0,0.2,384.6
9,0.30078518014914984,0.4,0.6,645.4
10,0.9060254355346823,1.0,0.6,644.0
11,0.7365896932159578,0.75,0.2,152.2
12,1.0,0.5,0.2,280.0
14,0.0,0.0,0.0,83.0
15,1.0,0.7142857142857143,0.2,382.0
16,0.6934264036172708,1.0,0.0,67.0
17,0.6992148198508501,0.6,0.2,394.6
19,0.6309297535714575,1.0,0.0,156.6
20,1.0,1.0,0.2,168.8
21,0.0,0.0,0.4,661.2
22,0.8687949224876582,0.8,0.0,147.0
23,0.6096199500078984,0.75,0.4,240.4
24,1.0,0.5,0.0,157.6
25,0.2960819109658652,0.3333333333333333,0.2,239.0
26,1.0,0.8333333333333334,0.2,158.6
27,0.5585075862632192,0.5,0.2,188.2
28,0.6164336326286644,0.6,0.0,138.8
29,0.9469024295259745,1.0,0.0,242.6
30,0.5,1.0,0.2,161.0
31,1.0,1.0,0.0,174.2
32,0.3156484524795145,0.4,0.2,350.2
33,0.38356636737133565,0.4,0.0,102.4
34,0.8687949224876582,0.8,0.6,437.6
35,0.8772153153380493,1.0,0.2,268.2
37,0.7860137352654724,0.8,0.4,481.2
38,0.8503449055347546,1.0,0.0,144.8
39,0.0,0.0,0.4,253.4
42,0.9197207891481876,1.0,0.2,386.0
43,0.6508205185601091,0.6666666666666666,0.2,215.0
45,0.7860137352654724,0.8,0.0,122.8
46,1.0,1.0,0.2,160.6
48,0.9197207891481876,1.0,0.0,157.2
49,0.6934264036172708,1.0,0.0,150.4
50,0.0,0.0,0.0,46.0
51,0.6309297535714575,1.0,0.0,40.0
52,0.6309297535714575,1.0,0.0,121.2
53,0.6131471927654584,0.5,0.0,61.4
54,0.6548086577531307,0.6,0.4,682.0
56,0.5147714448836774,0.6,0.2,165.8
58,0.6309297535714575,1.0,0.0,136.2
60,0.8687949224876582,0.6666666666666666,0.8,558.6
61,0.5437713091520254,1.0,0.0,134.8
62,0.5307212739772434,0.6666666666666666,0.0,190.6
63,0.0,0.0,0.2,112.4
65,0.639945385422766,0.5,0.0,114.0
66,0.9469024295259745,1.0,0.0,124.0
67,0.8503449055347546,1.0,0.0,80.6
68,1.0,0.5,0.2,637.8
71,0.639945385422766,0.6,0.2,150.2
72,0.5531464700081437,0.4,0.2,477.2
73,0.5,1.0,0.0,103.2
74,0.6164336326286644,0.6,0.2,199.6
76,0.8687949224876582,0.8,0.2,418.4
77,0.7039180890341347,0.6666666666666666,0.0,74.8
78,0.43067655807339306,1.0,0.6,358.2
79,1.0,1.0,0.2,808.0
80,0.5,1.0,0.0,109.4
81,1.0,1.0,0.2,171.0
82,1.0,1.0,0.2,201.6
83,1.0,1.0,0.2,322.6
84,0.8539316501572937,0.8,0.6,508.2
85,1.0,1.0,0.0,177.2
86,0.49818925746641285,0.6666666666666666,0.0,124.2
87,0.8772153153380493,1.0,0.4,752.2
89,0.6992148198508501,0.5,0.0,82.0
91,0.6713860725233041,0.6666666666666666,0.4,615.0
92,0.6548086577531307,0.6,0.2,413.0
94,0.5,1.0,0.2,487.0
95,0.0,0.0,0.2,226.2
97,1.0,1.0,0.2,109.0
