user_id,rank,item_id,rating,label,train_degree
0,1,771,5,1,117
0,2,586,1,0,49
0,3,510,1,0,82
0,4,267,3,1,47
0,5,140,1,0,54
1,1,692,3,1,433
1,2,461,4,1,255
1,3,808,3,1,72
1,4,203,3,1,82
1,5,853,5,1,65
2,1,897,3,1,372
2,2,728,2,0,435
2,3,191,3,1,190
2,4,168,3,1,289
2,5,161,3,1,46
5,1,864,2,0,509
5,2,14,2,0,78
5,3,163,1,0,135
5,4,819,3,1,87
5,5,443,2,0,35
8,1,120,3,1,1507
8,2,573,3,1,221
8,3,533,2,0,81
8,4,998,1,0,56
8,5,626,1,0,58
9,1,382,1,0,1595
9,2,894,4,1,299
9,3,462,1,0,391
9,4,905,4,1,312
9,5,500,2,0,630
10,1,152,4,1,1672
10,2,813,1,0,974
10,3,8,3,1,103
10,4,14,3,1,78
10,5,240,2,0,52
11,1,18,4,1,342
11,2,22,2,0,145
11,3,5,3,1,121
11,4,163,1,0,135
11,5,859,3,1,18
12,1,572,5,1,901
12,2,392,4,1,95
12,3,682,4,1,104
12,4,82,5,1,129
12,5,147,5,1,171
14,1,115,1,0,77
14,2,910,1,0,47
14,3,323,1,0,92
14,4,690,1,0,164
14,5,196,3,1,51
15,1,34,4,1,1567
15,2,424,3,1,61
15,3,132,4,1,58
15,4,854,4,1,142
15,5,778,3,1,18
16,1,23,4,1,53
16,2,153,3,1,73
16,3,216,1,0,55
16,4,139,1,0,100
16,5,456,1,0,54
17,1,49,4,1,1653
17,2,543,4,1,99
17,3,597,1,0,96
17,4,613,3,1,63
17,5,621,1,0,62
19,1,436,1,0,147
19,2,969,3,1,187
19,3,245,2,0,111
19,4,423,2,0,200
19,5,78,2,0,138
20,1,352,3,1,563
20,2,873,2,0,75
20,3,349,2,0,52
20,4,52,1,0,123
20,5,791,2,0,35
21,1,169,2,0,2456
21,2,157,1,0,395
21,3,873,1,0,75
21,4,141,2,0,165
21,5,676,1,0,215
22,1,165,4,1,236
22,2,621,3,1,62
22,3,312,3,1,130
22,4,937,4,1,65
22,5,774,1,0,242
23,1,251,4,1,424
23,2,705,2,0,547
23,3,730,3,1,78
23,4,579,4,1,59
23,5,567,3,1,52
24,1,894,3,1,299
24,2,281,3,1,95
24,3,951,3,1,264
24,4,270,3,1,77
24,5,668,3,1,53
25,1,705,2,0,547
25,2,335,4,1,259
25,3,783,1,0,230
25,4,400,1,0,83
25,5,447,5,1,101
26,1,109,3,1,355
26,2,129,4,1,182
26,3,302,4,1,76
26,4,300,3,1,88
26,5,468,2,0,174
27,1,193,5,1,631
27,2,296,2,0,88
27,3,559,2,0,55
27,4,513,3,1,102
27,5,56,4,1,90
28,1,269,3,1,225
28,2,591,2,0,132
28,3,119,3,1,77
28,4,760,1,0,210
28,5,715,4,1,50
29,1,254,5,1,327
29,2,340,4,1,199
29,3,168,2,0,289
29,4,286,2,0,250
29,5,325,3,1,148
30,1,500,1,0,630
30,2,992,1,0,103
30,3,712,4,1,46
30,4,459,2,0,9
30,5,793,1,0,17
31,1,945,3,1,166
31,2,783,2,0,230
31,3,697,1,0,192
31,4,618,1,0,161
31,5,978,1,0,122
32,1,725,1,0,176
32,2,551,3,1,89
32,3,903,4,1,82
32,4,44,2,0,70
32,5,606,1,0,1334
33,1,569,2,0,126
33,2,115,3,1,77
33,3,533,3,1,81
33,4,346,2,0,161
33,5,396,2,0,67
34,1,85,3,1,905
34,2,515,3,1,494
34,3,554,3,1,428
34,4,642,2,0,250
34,5,245,3,1,111
35,1,92,4,1,277
35,2,8,2,0,103
35,3,254,1,0,327
35,4,114,2,0,542
35,5,507,4,1,92
37,1,11,4,1,1125
37,2,352,2,0,563
37,3,780,3,1,278
37,4,374,1,0,188
37,5,945,4,1,166
38,1,569,3,1,126
38,2,872,2,0,203
38,3,702,2,0,274
38,4,613,2,0,63
38,5,132,3,1,58
39,1,98,2,0,446
39,2,243,2,0,453
39,3,917,2,0,131
39,4,22,1,0,145
39,5,519,3,1,75
42,1,120,2,0,1507
42,2,468,4,1,174
42,3,124,3,1,205
42,4,901,1,0,97
42,5,47,1,0,19
43,1,780,5,1,278
43,2,920,2,0,357
43,3,52,1,0,123
43,4,950,2,0,268
43,5,282,5,1,49
45,1,740,5,1,99
45,2,843,3,1,94
45,3,342,5,1,60
45,4,95,1,0,315
45,5,722,4,1,46
46,1,997,1,0,411
46,2,758,3,1,60
46,3,969,1,0,187
46,4,228,1,0,106
46,5,418,2,0,39
48,1,593,3,1,326
48,2,560,2,0,97
48,3,908,3,1,63
48,4,26,1,0,232
48,5,162,1,0,68
49,1,935,3,1,82
49,2,17,3,1,125
49,3,151,1,0,249
49,4,740,2,0,99
49,5,328,1,0,23
50,1,354,1,0,38
50,2,321,1,0,74
50,3,619,1,0,29
50,4,243,2,0,453
50,5,972,1,0,34
51,1,911,4,1,55
51,2,930,1,0,45
51,3,332,1,0,66
51,4,65,1,0,15
51,5,699,1,0,223
52,1,697,1,0,192
52,2,618,3,1,161
52,3,56,2,0,90
52,4,839,2,0,28
52,5,579,1,0,59
53,1,155,3,1,87
53,2,403,2,0,97
53,3,530,2,0,34
53,4,516,2,0,30
53,5,539,3,1,77
54,1,291,5,1,2753
54,2,98,1,0,446
54,3,688,3,1,92
54,4,772,4,1,69
54,5,622,1,0,50
56,1,751,3,1,391
56,2,569,1,0,126
56,3,649,3,1,199
56,4,922,3,1,55
56,5,59,1,0,42
58,1,404,1,0,203
58,2,461,1,0,255
58,3,438,3,1,59
58,4,100,1,0,47
58,5,940,1,0,81
60,1,193,3,1,631
60,2,462,5,1,391
60,3,13,4,1,486
60,4,118,3,1,1163
60,5,978,2,0,122
