user_id,ndcg_at_5,recall_at_5,top5_head_share,top5_avg_train_degree
0,0.23719771276929622,0.5,0.0,70.0
1,1.0,0.625,0.2,181.4
2,0.8539316501572937,0.5,0.4,216.0
5,0.6309297535714575,1.0,0.2,198.6
8,1.0,1.0,0.2,384.6
9,0.5147714448836774,0.6,0.4,572.4
10,0.8854598815714874,1.0,0.6,644.0
11,0.75369761125927,0.75,0.2,152.2
12,1.0,0.5,0.2,255.6
14,0.0,0.0,0.0,83.0
15,1.0,0.7142857142857143,0.2,357.2
16,0.5437713091520254,1.0,0.0,94.4
17,0.7227265726449519,0.6,0.2,394.6
19,0.5,1.0,0.0,156.6
20,1.0,1.0,0.4,288.6
21,0.0,0.0,0.4,661.2
22,0.8687949224876582,0.8,0.0,107.2
23,0.6096199500078984,0.75,0.4,231.6
24,1.0,0.5,0.0,120.0
25,0.2960819109658652,0.3333333333333333,0.2,225.4
26,1.0,0.8333333333333334,0.2,158.6
27,0.3903800499921017,0.25,0.2,182.2
28,0.6164336326286644,0.6,0.0,134.6
29,0.9469024295259745,1.0,0.0,223.4
30,0.5,1.0,0.2,161.0
31,1.0,1.0,0.0,134.6
32,0.38356636737133565,0.4,0.2,350.2
33,0.5147714448836774,0.6,0.0,84.8
34,0.8687949224876582,0.8,0.6,437.6
35,1.0,1.0,0.2,268.2
37,0.6548086577531307,0.6,0.4,463.2
38,0.6240505200038379,1.0,0.0,144.8
39,0.38685280723454163,1.0,0.4,250.0
42,0.9197207891481876,1.0,0.2,400.4
43,0.5307212739772434,0.6666666666666666,0.2,153.4
45,0.830419897363192,0.8,0.0,122.8
46,1.0,1.0,0.2,160.6
48,0.8503449055347546,1.0,0.0,118.8
49,0.0,0.0,0.0,130.6
50,0.9197207891481876,1.0,0.2,247.4
51,1.0,1.0,0.0,79.6
52,1.0,1.0,0.0,110.6
53,0.2640681225725909,0.5,0.0,56.8
54,0.6992148198508501,0.6,0.4,682.0
56,0.8687949224876582,0.8,0.2,147.2
58,0.6309297535714575,1.0,0.0,132.6
60,0.7227265726449519,0.5,0.6,346.4
61,0.2640681225725909,0.5,0.0,145.2
62,0.9060254355346823,1.0,0.0,192.2
63,0.38685280723454163,1.0,0.6,812.4
65,0.830419897363192,0.6666666666666666,0.0,111.8
66,0.9469024295259745,1.0,0.0,140.6
67,0.6131471927654584,0.5,0.2,457.0
68,1.0,0.5,0.2,625.0
71,0.5531464700081437,0.4,0.2,182.8
72,0.48522855511632257,0.4,0.2,477.2
73,0.6309297535714575,1.0,0.0,84.4
74,0.8687949224876582,0.8,0.2,171.4
76,0.7227265726449519,0.6,0.2,421.0
77,0.7653606369886217,0.6666666666666666,0.0,68.2
78,1.0,1.0,0.6,364.2
79,1.0,1.0,0.2,784.2
80,0.5,1.0,0.0,97.0
81,1.0,1.0,0.2,168.6
82,1.0,1.0,0.2,197.2
83,1.0,1.0,0.2,297.4
84,0.7227265726449519,0.6,0.6,503.2
85,0.6509209298071326,1.0,0.0,177.2
86,0.23463936301137822,0.3333333333333333,0.0,115.4
87,0.8772153153380493,1.0,0.4,727.2
89,0.830419897363192,0.6666666666666666,0.0,90.4
91,0.6508205185601091,0.6666666666666666,0.4,615.0
92,0.7860137352654724,0.8,0.2,396.2
94,0.5,1.0,0.2,487.0
95,0.0,0.0,0.2,226.2
97,1.0,1.0,0.2,109.0
99,0.8687949224876582,0.5714285714285714,0.4,791.2
100,0.6366824387328317,0.5,0.0,87.6
101,0.23719771276929622,0.5,0.0,77.6
104,0.38685280723454163,1.0,0.4,343.6
105,0.8687949224876582,0.8,0.6,371.4
106,0.8687949224876582,0.6666666666666666,0.2,670.6
107,0.46927872602275644,0.3333333333333333,0.0,97.8
108,0.5706417189553201,1.0,0.2,242.0
109,0.43067655807339306,1.0,0.0,135.8
111,0.6096199500078984,0.75,0.2,177.6
112,0.6934264036172708,1.0,0.4,457.0
113,0.5413996682199069,0.5,0.2,159.8
114,0.43067655807339306,1.0,0.0,136.6
115,0.6164336326286644,0.5,0.0,113.8
116,0.6934264036172708,1.0,0.2,157.8
117,1.0,1.0,0.2,434.6
118,0.5,1.0,0.0,93.2
120,0.8503449055347546,1.0,0.0,25.0
122,0.7227265726449519,0.5,0.0,116.8
123,0.20210734650054757,0.3333333333333333,0.2,170.2
124,0.38685280723454163,0.5,0.2,133.0
125,0.5,1.0,0.4,196.8
126,0.7039180890341347,0.6666666666666666,0.6,722.0
127,1.0,1.0,0.0,64.6
128,0.48522855511632257,0.4,0.6,914.6
129,0.830419897363192,0.8,0.0,106.8
130,1.0,0.8333333333333334,0.8,1045.6
131,1.0,1.0,0.2,323.2
132,0.9828920819566879,1.0,0.2,155.0
133,1.0,0.625,0.0,96.4
136,0.6309297535714575,1.0,0.4,441.6
137,0.7227265726449519,0.5,0.4,474.4
138,1.0,0.625,0.2,231.6
140,1.0,0.5555555555555556,0.2,203.2
141,0.4367467095119258,0.6666666666666666,0.2,162.2
143,0.6843515475204855,0.6,0.0,88.4
144,1.0,0.625,0.2,403.0
145,0.830419897363192,0.6666666666666666,0.2,345.8
147,0.5087403079104241,0.4,0.2,266.2
148,0.8539316501572937,0.4444444444444444,0.0,111.0
149,0.34519134224686937,0.4,0.2,348.4
150,0.38685280723454163,0.5,0.0,71.4
151,1.0,1.0,0.0,95.4
155,0.6131471927654584,0.5,0.2,320.8
156,0.0,0.0,0.2,125.8
