user_id,rank,item_id,rating,label,train_degree
0,1,586,1,0,49
0,2,140,1,0,54
0,3,137,1,0,48
0,4,510,1,0,82
0,5,771,5,1,117
1,1,692,3,1,433
1,2,853,5,1,65
1,3,808,3,1,72
1,4,461,4,1,255
1,5,203,3,1,82
2,1,897,3,1,372
2,2,161,3,1,46
2,3,592,3,1,37
2,4,728,2,0,435
2,5,191,3,1,190
5,1,864,2,0,509
5,2,819,3,1,87
5,3,295,1,0,184
5,4,14,2,0,78
5,5,163,1,0,135
8,1,120,3,1,1507
8,2,573,3,1,221
8,3,533,2,0,81
8,4,626,1,0,58
8,5,998,1,0,56
9,1,382,1,0,1595
9,2,905,4,1,312
9,3,894,4,1,299
9,4,500,2,0,630
9,5,290,4,1,26
10,1,152,4,1,1672
10,2,813,1,0,974
10,3,8,3,1,103
10,4,198,2,0,393
10,5,14,3,1,78
11,1,18,4,1,342
11,2,22,2,0,145
11,3,5,3,1,121
11,4,859,3,1,18
11,5,163,1,0,135
12,1,572,5,1,901
12,2,392,4,1,95
12,3,82,5,1,129
12,4,586,4,1,49
12,5,682,4,1,104
14,1,910,1,0,47
14,2,323,1,0,92
14,3,690,1,0,164
14,4,115,1,0,77
14,5,443,1,0,35
15,1,424,3,1,61
15,2,132,4,1,58
15,3,778,3,1,18
15,4,34,4,1,1567
15,5,263,3,1,82
16,1,216,1,0,55
16,2,27,1,0,191
16,3,23,4,1,53
16,4,139,1,0,100
16,5,153,3,1,73
17,1,49,4,1,1653
17,2,613,3,1,63
17,3,543,4,1,99
17,4,597,1,0,96
17,5,621,1,0,62
19,1,423,2,0,200
19,2,245,2,0,111
19,3,969,3,1,187
19,4,78,2,0,138
19,5,436,1,0,147
20,1,352,3,1,563
20,2,873,2,0,75
20,3,52,1,0,123
20,4,500,1,0,630
20,5,349,2,0,52
21,1,169,2,0,2456
21,2,157,1,0,395
21,3,141,2,0,165
21,4,873,1,0,75
21,5,676,1,0,215
22,1,621,3,1,62
22,2,312,3,1,130
22,3,937,4,1,65
22,4,165,4,1,236
22,5,874,1,0,43
23,1,705,2,0,547
23,2,579,4,1,59
23,3,251,4,1,424
23,4,730,3,1,78
23,5,178,2,0,50
24,1,894,3,1,299
24,2,281,3,1,95
24,3,668,3,1,53
24,4,270,3,1,77
24,5,962,3,1,76
25,1,705,2,0,547
25,2,335,4,1,259
25,3,783,1,0,230
25,4,561,1,0,76
25,5,283,1,0,15
26,1,129,4,1,182
26,2,109,3,1,355
26,3,300,3,1,88
26,4,302,4,1,76
26,5,363,3,1,92
27,1,193,5,1,631
27,2,924,1,0,65
27,3,559,2,0,55
27,4,296,2,0,88
27,5,359,2,0,72
28,1,269,3,1,225
28,2,591,2,0,132
28,3,760,1,0,210
28,4,715,4,1,50
28,5,60,3,1,56
29,1,340,4,1,199
29,2,254,5,1,327
29,3,286,2,0,250
29,4,327,1,0,193
29,5,325,3,1,148
30,1,500,1,0,630
30,2,992,1,0,103
30,3,712,4,1,46
30,4,459,2,0,9
30,5,793,1,0,17
31,1,945,3,1,166
31,2,783,2,0,230
31,3,618,1,0,161
31,4,560,1,0,97
